slug	name	priorityRank	graph_version	v23	zones_geo	lots_geo	signaux	citations_pct	focus30
val-dor	Val-d'Or	875	2.3	1	0	nd	5	100	0
saint-francois-xavier-de-viger	Saint-François-Xavier-de-Viger	876	2.3	1	0	nd	0	0	0
tadoussac	Tadoussac	877	2.3	1	0	nd	11	100	0
saint-epiphane	Saint-Épiphane	878	2.3	1	0	nd	0	0	0
saint-hubert-de-riviere-du-loup	Saint-Hubert-de-Rivière-du-Loup	879	2.3	1	0	nd	0	0	0
notre-dame-des-sept-douleurs	Notre-Dame-des-Sept-Douleurs	880	2.3	1	0	nd	3	100	0
saint-eusebe	Saint-Eusèbe	881	2.3	1	0	nd	3	100	0
saint-louis-du-ha-ha	Saint-Louis-du-Ha! Ha!	882	2.3	1	0	nd	0	0	0
senneterre-la-vallee-de-lor	Senneterre	883	2.3	1	0	0	1	100	0
packington	Packington	884	2.3	1	0	nd	4	100	0
senneterre-la-vallee-de-lor-2	Senneterre	885	2.3	1	0	0	0	0	0
lisle-verte	L'Isle-Verte	886	none	0	0	1387	nd	nd	0
saint-jean-de-la-lande	Saint-Jean-de-la-Lande	887	2.3	1	0	nd	0	0	0
saint-paul-de-la-croix	Saint-Paul-de-la-Croix	888	2.3	1	0	nd	0	0	0
temiscouata-sur-le-lac	Témiscouata-sur-le-Lac	889	2.3	1	0	nd	0	0	0
saint-pierre-de-lamy	Saint-Pierre-de-Lamy	890	2.3	1	0	nd	0	0	0
saint-clement	Saint-Clément	891	2.3	1	0	nd	0	0	0
les-bergeronnes	Les Bergeronnes	892	none	0	0	577	nd	nd	0
saint-eloi	Saint-Éloi	893	2.3	1	0	nd	0	0	0
belcourt	Belcourt	894	none	0	0	169	nd	nd	0
temiscaming	Témiscaming	895	2.3	1	0	nd	5	100	0
saint-cyprien-riviere-du-loup	Saint-Cyprien	896	2.3	1	0	0	3	0	0
saint-juste-du-lac	Saint-Juste-du-Lac	897	2.3	1	0	nd	0	0	0
kipawa	Kipawa	898	none	0	0	733	nd	nd	0
trois-pistoles	Trois-Pistoles	899	2.3	1	0	nd	0	0	0
notre-dame-des-neiges	Notre-Dame-des-Neiges	900	2.3	1	0	nd	8	88	0
saint-jean-de-dieu	Saint-Jean-de-Dieu	901	2.3	1	0	nd	0	0	0
belleterre	Belleterre	902	none	0	0	295	nd	nd	0
sainte-francoise-les-basques	Sainte-Françoise	903	2.3	1	0	0	0	0	0
sainte-rita	Sainte-Rita	904	2.3	1	0	nd	0	0	0
degelis	Dégelis	905	2.3	1	0	327	7	86	0
auclair	Auclair	906	2.3	1	0	541	3	0	0
barraute	Barraute	907	2.3	1	0	1428	3	100	0
champneuf	Champneuf	908	2.3	1	0	nd	5	80	0
laforce	Laforce	909	2.3	1	0	161	2	100	0
saint-michel-du-squatec	Saint-Michel-du-Squatec	910	2.3	1	0	nd	0	0	0
les-escoumins	Les Escoumins	911	2.3	1	0	165	3	100	0
malartic	Malartic	912	none	0	0	nd	nd	nd	0
la-corne	La Corne	913	2.3	1	0	328	6	67	0
saint-simon-de-rimouski	Saint-Simon-de-Rimouski	914	2.3	1	0	nd	6	0	0
saint-medard	Saint-Médard	915	2.3	1	0	nd	0	0	0
saint-mathieu-de-rioux	Saint-Mathieu-de-Rioux	916	2.3	1	0	nd	0	0	0
lejeune	Lejeune	917	2.3	1	0	355	2	100	0
riviere-heva	Rivière-Héva	918	2.3	1	0	nd	4	100	0
saint-guy	Saint-Guy	919	2.3	1	0	nd	0	0	0
lac-des-aigles	Lac-des-Aigles	920	2.3	1	0	826	2	100	0
latulipe-et-gaboury	Latulipe-et-Gaboury	921	2.3	1	0	415	2	100	0
bearn	Béarn	922	2.3	1	0	44	3	100	0
biencourt	Biencourt	923	2.3	1	0	613	2	100	0
moffet	Moffet	924	none	0	0	nd	nd	nd	0
la-morandiere-rochebaucourt	La Morandière-Rochebaucourt	925	2.3	1	0	286	0	0	0
longue-rive	Longue-Rive	926	2.3	1	0	786	4	100	0
la-motte	La Motte	927	2.3	1	0	557	3	100	0
lebel-sur-quevillon	Lebel-sur-Quévillon	928	2.3	1	0	1217	0	0	0
saint-fabien	Saint-Fabien	929	2.2	0	nd	nd	4	0	0
saint-marc-de-figuery	Saint-Marc-de-Figuery	930	2.2	0	0	nd	1	0	0
landrienne	Landrienne	931	none	0	0	858	nd	nd	0
saint-eugene-de-ladriere	Saint-Eugène-de-Ladrière	932	2.2	0	0	nd	1	0	0
esprit-saint	Esprit-Saint	933	2.3	1	0	nd	4	100	0
fugereville	Fugèreville	934	none	0	0	494	nd	nd	0
saint-mathieu-dharricana	Saint-Mathieu-d'Harricana	935	2.3	1	0	nd	0	0	0
