slug	name	priorityRank	graph_version
saint-etienne-des-gres	Saint-Étienne-des-Grès	388	2.3
trois-rivieres	Trois-Rivières	389	2.3
kingsey-falls	Kingsey Falls	390	2.3
saint-elie-de-caxton	Saint-Élie-de-Caxton	391	2.3
saint-wenceslas	Saint-Wenceslas	392	2.3
lac-des-plages	Lac-des-Plages	393	none
sainte-catherine-de-hatley	Sainte-Catherine-de-Hatley	394	2.3
saint-samuel	Saint-Samuel	395	2.3
windsor	Windsor	396	2.3
sainte-elizabeth-de-warwick	Sainte-Élizabeth-de-Warwick	397	2.3
sainte-eulalie	Sainte-Eulalie	398	2.3
ayers-cliff	Ayer's Cliff	399	2.3
danville	Danville	400	2.3
labelle	Labelle	401	2.3
val-joli	Val-Joli	402	2.3
sherbrooke	Sherbrooke	403	2.3
saint-albert	Saint-Albert	404	2.3
ripon	Ripon	405	2.3
north-hatley	North Hatley	406	2.3
stanstead-memphremagog-2	Stanstead	407	2.3
saint-boniface	Saint-Boniface	408	2.3
saint-claude	Saint-Claude	409	2.3
aston-jonction	Aston-Jonction	410	2.3
stanstead-est	Stanstead-Est	411	2.3
lac-simon	Lac-Simon	412	2.3
saint-sixte	Saint-Sixte	413	2.3
hatley-township-municipality	Hatley (township municipality)	414	2.3
lochaber	Lochaber	415	2.3
hatley	Hatley	416	2.3
val-des-sources	Val-des-Sources	417	2.3
becancour	Bécancour	418	2.3
notre-dame-du-mont-carmel	Notre-Dame-du-Mont-Carmel	419	2.3
saint-valere	Saint-Valère	420	2.3
thurso	Thurso	421	2.3
warwick	Warwick	422	2.3
saint-sylvere	Saint-Sylvère	423	2.3
tingwick	Tingwick	424	2.3
barnston-ouest	Barnston-Ouest	425	2.3
la-macaza	La Macaza	426	none
saint-maurice	Saint-Maurice	427	2.3
la-minerve	La Minerve	428	2.3
shawinigan	Shawinigan	429	2.3
waterville	Waterville	430	2.2
saint-georges-de-windsor	Saint-Georges-de-Windsor	431	2.3
saint-mathieu-du-parc	Saint-Mathieu-du-Parc	432	2.3
saint-michel-des-saints	Saint-Michel-des-Saints	433	2.3
lochaber-partie-ouest	Lochaber-Partie-Ouest	434	2.3
daveluyville	Daveluyville	435	2.3
maddington-falls	Maddington Falls	436	2.3
mayo	Mayo	437	none
victoriaville	Victoriaville	438	2.3
montpellier	Montpellier	439	none
stoke	Stoke	440	2.3
compton	Compton	441	2.3
champlain	Champlain	442	2.3
saint-rosaire	Saint-Rosaire	443	2.3
wotton	Wotton	444	2.3
duhamel	Duhamel	445	2.3
saint-luc-de-vincennes	Saint-Luc-de-Vincennes	446	2.3
ascot-corner	Ascot Corner	447	2.3
saint-remi-de-tingwick	Saint-Rémi-de-Tingwick	448	2.3
sainte-marie-de-blandford	Sainte-Marie-de-Blandford	449	2.3
coaticook	Coaticook	450	2.3
mulgrave-et-derry	Mulgrave-et-Derry	451	2.3
saint-christophe-darthabaska	Saint-Christophe-d'Arthabaska	452	2.3
lemieux	Lemieux	453	none
saint-narcisse	Saint-Narcisse	454	2.3
saint-adrien	Saint-Adrien	455	2.3
saint-camille	Saint-Camille	456	2.3
saint-louis-de-blandford	Saint-Louis-de-Blandford	457	2.3
chesterville	Chesterville	458	2.3
lange-gardien-les-collines-de-loutaouais	L'Ange-Gardien	459	2.3
westbury	Westbury	460	2.3
cookshire-eaton	Cookshire-Eaton	461	2.3
east-angus	East Angus	462	2.3
martinville	Martinville	463	2.3
herouxville	Hérouxville	464	2.3
sainte-genevieve-de-batiscan	Sainte-Geneviève-de-Batiscan	465	2.3
batiscan	Batiscan	466	2.3
princeville	Princeville	467	2.3
dixville	Dixville	468	2.3
saint-norbert-darthabaska	Saint-Norbert-d'Arthabaska	469	2.3
sainte-edwidge-de-clifton	Sainte-Edwidge-de-Clifton	470	2.3
notre-dame-de-ham	Notre-Dame-de-Ham	471	2.3
lascension	L'Ascension	472	2.2
saint-pierre-les-becquets	Saint-Pierre-les-Becquets	473	2.3
sainte-cecile-de-levrard	Sainte-Cécile-de-Lévrard	474	2.3
sainte-sophie-de-levrard	Sainte-Sophie-de-Lévrard	475	2.3
nominingue	Nominingue	476	2.3
saint-stanislas-des-chenaux	Saint-Stanislas	477	2.3
saint-severin-mekinac	Saint-Séverin	478	2.3
grandes-piles	Grandes-Piles	479	2.3
dudswell	Dudswell	480	2.3
manseau	Manseau	481	2.3
riviere-rouge	Rivière-Rouge	482	2.3
ham-nord	Ham-Nord	483	2.3
sainte-helene-de-chester	Sainte-Hélène-de-Chester	484	2.3
ham-sud	Ham-Sud	485	2.3
saint-tite	Saint-Tite	486	2.3
notre-dame-de-la-salette	Notre-Dame-de-la-Salette	487	2.3
val-des-bois	Val-des-Bois	488	2.3
saint-hermenegilde	Saint-Herménégilde	489	2.3
saint-roch-de-mekinac	Saint-Roch-de-Mékinac	490	2.3
saint-prosper-de-champlain	Saint-Prosper-de-Champlain	491	2.3
plessisville	Plessisville	492	2.3
sainte-sophie-dhalifax	Sainte-Sophie-d'Halifax	493	2.3
saint-fortunat	Saint-Fortunat	494	2.3
sainte-anne-de-la-perade	Sainte-Anne-de-la-Pérade	495	2.3
deschaillons-sur-saint-laurent	Deschaillons-sur-Saint-Laurent	496	2.3
fortierville	Fortierville	497	2.3
parisville	Parisville	498	2.3
sainte-francoise-becancour	Sainte-Françoise	499	2.3
notre-dame-de-lourdes-lerable	Notre-Dame-de-Lourdes	500	2.3
saint-adelphe	Saint-Adelphe	501	2.3
saints-martyrs-canadiens	Saints-Martyrs-Canadiens	502	2.3
gatineau	Gatineau	503	2.3
villeroy	Villeroy	504	2.3
bury	Bury	505	2.3
saint-isidore-de-clifton	Saint-Isidore-de-Clifton	506	2.3
saint-malo	Saint-Malo	507	2.3
val-des-monts	Val-des-Monts	508	2.3
notre-dame-du-laus	Notre-Dame-du-Laus	509	none
saint-ferdinand	Saint-Ferdinand	510	2.3
